fecha;hora;salon;materia;docente
2025-08-05;17:00:00;1-208;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-06;17:00:00;1-407;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-12;17:00:00;1-208;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-14;17:00:00;1-208;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-19;17:00:00;1-208;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-21;17:00:00;1-502;GESTION DE PROCESOS EMPRESARIALES ;CARLOS RAFAEL ROBLES NUNEZ
2025-08-13;17:00:00;H-602;ESTRATEGIAS DIGITALES PARA GESTION DE LA EXPERIENCIA DEL USUARIO ;CARLOS ANDRES GOMEZ
2025-08-20;17:00:00;1-206;ESTRATEGIAS DIGITALES PARA GESTION DE LA EXPERIENCIA DEL USUARIO ;CARLOS ANDRES GOMEZ
2025-08-26;17:00:00;1-208;ESTRATEGIAS DIGITALES PARA GESTION DE LA EXPERIENCIA DEL USUARIO ;CARLOS ANDRES GOMEZ
2025-08-28;17:00:00;1-208;ESTRATEGIAS DIGITALES PARA GESTION DE LA EXPERIENCIA DEL USUARIO ;CARLOS ANDRES GOMEZ
2025-09-02;17:00:00;H-602;DESARROLLO DE NEGOCIOS DIGITALES ;SANTIAGO GRISALES BOHORQUEZ
2025-09-04;17:00:00;H-507;DESARROLLO DE NEGOCIOS DIGITALES ;SANTIAGO GRISALES BOHORQUEZ
2025-08-27;17:00:00;1-502;DESARROLLO DE NEGOCIOS DIGITALES ;SANTIAGO GRISALES BOHORQUEZ
2025-09-03;17:00:00;H-307;DESARROLLO DE NEGOCIOS DIGITALES ;SANTIAGO GRISALES BOHORQUEZ
2025-09-09;17:00:00;1-208;ARQUITECTURA DE TECNOLOGIAS DE INFORMACION ;RIGOBERTO RODRIGUEZ PERALTA
2025-09-11;17:00:00;1-502;ARQUITECTURA DE TECNOLOGIAS DE INFORMACION ;RIGOBERTO RODRIGUEZ PERALTA
2025-09-16;17:00:00;1-208;ARQUITECTURA DE TECNOLOGIAS DE INFORMACION ;RIGOBERTO RODRIGUEZ PERALTA
2025-09-18;17:00:00;H-401;ARQUITECTURA DE TECNOLOGIAS DE INFORMACION ;RIGOBERTO RODRIGUEZ PERALTA
2025-09-10;17:00:00;1-202;GESTION DE PROYECTOS TECNOLOGICOS ;OSWALDO GRANADOS PENATE
2025-09-17;17:00:00;1-206;GESTION DE PROYECTOS TECNOLOGICOS ;OSWALDO GRANADOS PENATE
2025-09-23;17:00:00;1-306;GESTION DE PROYECTOS TECNOLOGICOS ;OSWALDO GRANADOS PENATE
2025-09-25;17:00:00;1-407;GESTION DE PROYECTOS TECNOLOGICOS ;OSWALDO GRANADOS PENATE
2025-09-30;17:00:00;1-306;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-10-02;17:00:00;1-206;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-09-24;17:00:00;1-407;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-10-01;17:00:00;1-407;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-10-07;17:00:00;PEDIR;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-10-09;17:00:00;1-502;GESTION DE CIBERSEGURIDAD ;JEIMY CANO
2025-10-14;17:00:00;H-205;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-16;17:00:00;1-407;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-08;17:00:00;1-407;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-15;17:00:00;H-401;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-21;17:00:00;PEDIR;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-28;17:00:00;PEDIR;INTELIGENCIA Y ANALITICA DE NEGOCIOS ;OLIMPO CARDENAS
2025-10-29;17:00:00;1-502;HERRAMIENTAS DE BIG DATA ;FRAN ERNESTO ROMERO ALVAREZ
2025-10-30;17:00:00;1-202;HERRAMIENTAS DE BIG DATA ;FRAN ERNESTO ROMERO ALVAREZ
2025-10-22;17:00:00;H-407;HERRAMIENTAS DE BIG DATA ;FRAN ERNESTO ROMERO ALVAREZ
2025-10-23;17:00:00;H-407;HERRAMIENTAS DE BIG DATA ;FRAN ERNESTO ROMERO ALVAREZ
2025-11-04;17:00:00;1-302;NUEVAS TECNOLOGIAS ;MARIA GABRIELA RAMOS BARRERA
2025-11-06;17:00:00;H-407;NUEVAS TECNOLOGIAS ;MARIA GABRIELA RAMOS BARRERA
2025-11-12;17:00:00;H-407;NUEVAS TECNOLOGIAS ;MARIA GABRIELA RAMOS BARRERA
2025-11-13;17:00:00;H-407;NUEVAS TECNOLOGIAS ;MARIA GABRIELA RAMOS BARRERA
2025-11-05;17:00:00;H-305;NUEVAS TECNOLOGIAS ;MARIA GABRIELA RAMOS BARRERA
2025-11-11;17:00:00;1-407;TRABAJO DE GRADO 1;FRAN ERNESTO ROMERO ALVAREZ
2025-11-18;17:00:00;PEDIR;TRABAJO DE GRADO 1;FRAN ERNESTO ROMERO ALVAREZ
